Bio,Follower Count
"b'Proud Oklahoman and life-long conservative, consistently fighting for the values of our great state in the U.S. Senate.'",1910
"b'United States Senator from Oklahoma, Husband to Cindy, Father to Hannah and Jordan. Faithful. Conservative. Leader.'",13157
b'Husband. Dad. Garage tinkerer. Thorn in the side of the privileged and powerful. U.S. Senator from Oregon. No corporate PAC $. Fighting for YOU. He/Him.',108166
b'U.S. Senator from Oregon. @SenateFinance Chairman. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjudYH',515679
b'Proud Pennsylvanian fighting for working families in the US Senate. Official campaign account. Tweets from Bob signed \xe2\x80\x94Bob',33162
b'Official Campaign Account of Republican U.S. Senator Pat Toomey',13734
b'Delivering for Rhode Island in the U.S. Senate. Campaign account.',4673
b'The official campaign account of U.S. Senator Jack Reed. Proudly representing the Ocean State.',559
b'The official Twitter feed for United States Senator Lindsey Graham.',1964330
b'South Carolinian. US Senator. NY Times Bestselling Author. Opportunity Zones Creator.',9997
b'United States Senator from South Dakota',27672
b'Senator for South Dakota.',2568
"b'Personal Account. Wife, mom of 2, grandmom to 3, Chief mama in charge, US Senator from TN, Author of The Mind of a Conservative Woman \xf0\x9f\x91\x87'",6005
"b'Father. Husband. Proud Tennessean. Senator to the great state of TN. Former US Amb. to Japan, @realDonaldTrump Transition Leader + TN Victory Chair'",25500
"b'Official campaign handle for Texans for Senator John Cornyn, Inc. All tweets by the campaign team.'",5806
"b""Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.""",4356340
b'United States Senator for the great state of Utah- Official Campaign Account.',5210
"b'Husband, Father, Grandfather, Former Governor, U.S. Senator (R-UT). Follow @SenatorRomney for official updates.'",2146606
b'Campaign updates from Team Warner. Posts from Sen. Warner signed -MW. Following/retweeting does not equal endorsement.',16446
"b'Anne Holton\xe2\x80\x99s husband, Dad of 3, Stone Irish, public servant, musician, civil rights lawyer, backpacker.'",1004210
"b'U.S. Senator for Vermont. Not me, us.'",15183040
b'',226996
"b""Official Twitter account of Friends of Maria, Sen. Cantwell's re-election campaign committee.\nRT\xe2\x89\xa0endorsement""",8742
b'Senior U.S. Senator from the great state of Washington.',19236
b'U.S. Senator from Wisconsin',53799
"b'Oshkosh manufacturer. Citizen-legislator. Problem solver. Husband, dad & grandpa. Fisherman. Bringing #Wisconsin common sense to the U.S. Senate. #TeamRonJon'",24521
"b'Official Twitter of Manchin for WV. \r\nAccount is run by campaign staff, tweets from the Senator are signed - JM.'",14659
b'Senator Shelley Moore Capito - Republican Nominee for U.S. Senate',5781
"b'Dad, Husband, and doctor - fighting the good fight for Wyoming in the United States Senate #JB4WYO'",635
b'Conservative Republican. US Senator. All Wyoming. All the Time. Official tweets @SenLummis.',22811
b'Official campaign account for Don Young.',1772
"b'Husband, father, and small businessman. Official tweets @repjerrycarl.'",2397
b'U.S. Representative for #AL02 Do justly. Love mercy. Walk humbly. Micah 6:8',2200
"b""I am proud to represent Alabama's Third Congressional District.""",34475
b'Proudly serving the 4th Congressional District of Alabama in the United States House of Representatives',30865
b'This is Mo Brooks\xe2\x80\x99 campaign account. Follow Congressman Mo Brooks\xe2\x80\x99 (AL-05) official Twitter @RepMoBrooks.',1704
b'Conservative Leader in Alabama for more than 20 years. Husband & father of three.',2707
"b""My name is Terri Sewell, and I am seeking re-election to Congress in Alabama's 7th District. Let's move Alabama forward together!""",3609
b'Campaign account of Congressman Rick Crawford who represents the First District of Arkansas. #AR1',4414
"b""Official campaign account for French Hill. Little Rock businessman, civic leader and Congressman for Arkansas's 2nd District. #AR2 #AR02""",2856
"b""I'm running for re-election of the 3rd U.S. Congressional District Seat in Arkansas. I appreciate your support.""",2113
"b""Husband; Father; Engineer; Forester; Razorback; representing Arkansas's 4th District. #LessHassleMoreFreedom""",2375
b'',96
"b'Committed to bringing people together to solve the challenges our communities face. Proud father, grandfather, & @UArizona basketball fan. #AZ01'",10136
"b'Proud lifelong Arizonan, Congresswoman for AZ02, independent voice for working Arizona families, mother and proud grandma. Join us!'",10873
b'Your source for progressive campaign news in Southern Arizona and nationwide. Join our mailing list at http://t.co/dZ368796dE',3860
b'Personal twitter. Congressman for AZ\xe2\x80\x99s 4th District. Constitutional Conservative. #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xe2\x80\x9cAll of Arizona appreciates Rep. Gosar\xe2\x80\x9d',104915
"b'U.S. Representative for #AZ05. Native Arizonan, Husband, Father, Grandfather, and Conservative Republican.'",13583
"b'Husband, Father, and Conservative who is blessed to represent Arizona\xe2\x80\x99s 6th District in the United States Congress'",5498
"b""Iraq War Veteran. USMC 0311/0341. Member of Congress for Arizona's 7th Congressional District. Proud Democrat. Hispanic, Latino. Father of Michael.""",104478
"b""Congresswoman from Arizona's 8th Congressional District.""",22829
"b""Dad. Husband. Former Phoenix Mayor. Congressman for Arizona's 9th District. Instagram: @gregstantonaz""",66992
"b'Republican US Rep, CA-1st District and rice farmer in NorCal'",3448
"b""Congressman for CA's 2nd Dist.  Posts on this page authorized by Huffman for Congress.  For my official House of Representatives feed please follow @RepHuffman""",15549
"b'This is the official twitter account for my campaign. I proudly represent Glenn, Sacramento, Colusa, Yuba, Sutter, Lake, Solano, and Yolo counties in Congress.'",3881
b'Congressman Tom McClintock represents #CA04 in the United States Congress.',5465
"b""U.S. Congressman, California's 5th Congressional District""",756
"b'Doris Matsui represents the Sacramento region in Congress, and is running for re-election in the 6th District, which includes Sacramento & West Sacramento.'",1410
"b'Husband, father, doctor and teacher representing #CA07 in Congress. Updates by Ami & Team Bera'",4004
"b'Husband, Father, Business Owner, & Congressman for #CA08 #TeamObernolte'",441
"b'I studied math & have a PhD in Differential Geometry and a background in wind energy technology. Elected to Congress in 2006, proud to serve CD-09 of California'",1885
b'Turlock Native. Teacher at Modesto Junior College. Businessman. Proud to represent the people of CA-10 in Congress. Join us: https://t.co/7QlocQKkSq',14218
"b""Father. Avid Runner. Former Small Business Owner.\nHonored to represent California's 11th Congressional District.""",2851
"b""Organize, mobilize and fight #ForThePeople. This is Nancy's political account. Tweets from her are signed -NP.""",791526
"b""Thanks to voters, Barbara Lee represents CA's new 13th Congressional District. This is her campaign account.""",66194
"b'I proudly represent San Francisco and San Mateo counties, and served 18 years in the CA State Legislature before being sworn into Congress in April 2008.'",9174
b'Dad to Nelson & Cricket|Husband|CA Congressman|My book Endgame is on sale now (link below)\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc',291055
"b""Costa represents CA's 16th District. He serves on the Agriculture, Natural Resources, & Foreign Affairs Committees. This account is for official use only.""",27661
b'Bridging national divide w/ a 21st century economic vision for new jobs & more pay in places left behind. No PAC $$. Pro-growth progressive. Obama Commerce alum',282986
"b""Rep. Anna Eshoo represents California's 18th District. Tweets and re-tweets by campaign staff.""",830
b'Proud CA-19 Congresswoman. Democrat. A Teamster\xe2\x80\x99s Daughter. Immigration Attorney. Digital Rights Advocate. DREAMers Defender. Gun Safety Activist. Resister.',2075
"b'I am honored to represent the 20th Congressional District in Congress, and to continue serving our community and country.'",1839
"b'Husband, father, and dairy farmer in #CA21.'",7464
b'',48719
"b""House Republican Leader & Representative of California's 23rd District""",68427
"b""Husband, Father, Veteran, & UCSB alum. Running for Congress to fight for the Central Coast's middle class.""",2501
"b""Representing California's 25th District in Congress. Former U.S. Navy fighter pilot, businessman, & conservative. Husband to Rebecca and proud dad of two boys.""",36223
"b'Mother, School Board Member, State Assemblywoman, Member of Congress proudly serving Ventura County'",3850
"b'Incumbent Candidate for U.S. Congress, 27th District of California.'",820
"b'Father, husband, former federal prosecutor, triathlete and sometimes comic. Congressman from California. Join our team \xf0\x9f\x91\x87'",561150
b'My passion drives my intention to bring quality services to the people I represent. Current U.S. Congressman',896
"b""Represents California's San Fernando Valley in the U.S. House of Representatives""",833
"b'Dad. Husband. 4th generation Californian. Congressman. Fan of Dodgers, craft beer and working across the aisle to get things done.'",1262
"b""Candidate for Congress in California's 32nd Congressional District.\nFighting for the San Gabriel Valley. Water. Labor. Women's Rights. Jobs. Veterans' Services.""",566
"b'Husband of Betty, the love of my life. Father of two great kids. USAF veteran. Member of Congress. In that order. Also, empathy is good.'",1600547
b'Congressman for Los Angeles. Working-class progressive. Personal Account. Lifelong @Dodgers fan! Shelter \xf0\x9f\x90\xb6 parent. FB & IG: @JimmyGomezCA #CA34',18073
"b'Congresswoman representing the people of Bloomington, Chino, Fontana, Montclair, Ontario, Pomona and Rialto. Advocate for working families in the #InlandEmpire.'",2507
"b""I've lived the American Dream and I'm running to ensure that\nfuture generations have the same opportunity I did.""",181
"b'Member of Congress, Speaker Emeritus of the California Assembly, community organizer, and coalition builder. This is my personal campaign account.'",22715
b'Mom. Latina. Congresswoman. Standing up for #CA38 families & working to elect the next generation of leaders to Congress.  This is my campaign twitter account.',1608
"b'Mom, wife, small business owner, former California State Assemblywoman, and Congresswoman for #CA39'",26571
"b""California's 1st Latina in Congress!""",36
b'Born and raised in Riverside. Proud to serve the families of the Inland Empire in the United States House of Representatives. #CA41',2874
b'Welcome to the official Ken Calvert for Congress Campaign Twitter page.',821
b'The Campaign Committee to Re-Elect Congresswoman Maxine Waters.',40406
"b'Congressmember #CA44. San Pedro resident. UCLA, USC Law, 1st Latina to represent CA44. Fighting for you. For official Twitter account follow @RepBarragan'",3806
b'Irvine mom & Consumer Protection Attorney. Representative for #CA45 in Congress. #PorterSupporter IG: KatiePorterOC',509619
"b'Orange County native. Experienced legislator. Come join our campaign, and help elect Lou Correa to Congress. Tweets from Lou signed -LC.'",674
"b'US Congressman representing #CA47. Former @CSULB professor, @LongBeachCity Council, State Assemblyman & Senator -- proud Californian.'",1030
"b'Congresswoman for #CA48. A wife, mother, and County Supervisor fighting everyday to be a strong voice for Orange County families! #StandWithSteel'",12384
"b'Proud husband/dad, SoCal native, clean energy advocate, environmental attorney, Stanford/Duke alum.  U.S. Representative for CA-49. All tweets by me.'",112278
"b'Entrepreneur, Former CEO, Congressman from California.\n\nVisit my website: https://t.co/yBNW2oBCYd'",279065
"b'Husband & father, former Jesuit, #SanDiego native, U.S. Congressman now serving the people of #CA51 & running to represent them again. Work acct: @RepJuanVargas'",147
"b'San Diegan, father, husband, enviro lawyer, Congress, urbanist. #CA52 #SDinDC #YIMBY #GoDuke #Padres @votenewdems Work acct: @repscottpeters'",12187
"b'Congresswoman for #CA53 | Founding Chair, @SDforEveryChild; formerly @KrocSchool, @ProCoWorld, @hillaryclinton, @statedept, @unicefinnovate. she/her'",21460
b'The campaign twitter account for Congresswoman Diana DeGette.',2656
"b""Congressman, Colorado's 2nd District | Dad, Husband & First Generation American | Attorney | Fmr. CU Regent & Director of Colorado's consumer protection agency""",49505
b'Lauren Boebert for Congress Account: Congresswoman for CO-03. Owner of Shooters Grill. I\xe2\x80\x99m the mom who told Beto HELL NO you\xe2\x80\x99re not taking our guns!',566724
"b'Proudly representing the wonderful people of Colorado\xe2\x80\x99s 4th Congressional District. For my official Twitter account, please visit @repkenbuck.'",6970
"b""Congressman Doug Lamborn\r\nConservative Republican Candidate for Colorado's 5th Congressional District.""",165
b'Congressman for #CO06 | 2 awesome kids | Partner to @DeseraiCrow | Former Army Ranger and Arby\xe2\x80\x99s cashier | Westerner & whiskey enthusiast. | \xf0\x9f\x93\xb7 Dave Russell',42448
b'Candidate for the 7th Congressional District. Fighting for hardworking Coloradans.',4079
"b'Congressman Representing the First Congressional District of Connecticut ~ Official Campaign Feed ~\n\nPaid for by Larson for Congress, Barry Feldman, Treasurer'",3129
"b'Thank you for visiting my campaign Twitter page. If your intention was to visit my official House of Rep. Twitter page, please click here http://t.co/9xvKCTFwvA'",1568
"b""Rosa's work has been and will always be about helping people. This is the campaign account for Rosa DeLauro who represents CT's Third Congressional District.""",5821
b'Connecticut Congressman. Reader. Runner. Swimmer. Apiarist. And I make maple syrup. And mead.',113764
b'CT 5th Congressional District Congresswoman',41845
"b""Mother. Lawyer. Fighter. Writer. #Congresswoman Representing the District of Columbia\n\nOfficial Twitter of Eleanor Holmes Norton's Congressional campaign""",323
"b'Democrat serving DE in Congress - Raised in Wilmington - Former Delaware Secretary of Labor - @Padua_Academy, @FDUalumni, & @UDelaware alum - Proud mother of 2'",14733
b'Florida man. Fianc\xc3\xa9. Firebrand. America First.',981743
"b'Campaign Twitter account for Rep. Neal Dunn #FL2. Army Veteran, Surgeon, Businessman. Follow along as we Make America Great Again. #MAGA'",1468
"b'Congresswoman for #FL03, youngest GOP woman in 117th Congress, small business owner, alumna of the US Naval War College, proud wife to a first responder'",20536
b'Congressman FL-04',1737
"b""Husband. Father. Grandfather. Serving as U.S. Representative for Florida's 5th Congressional District #FL05. Re-Election page for Rep. Al Lawson. Vote August 18""",1562
"b'Congressman from Florida. U.S. Army Green Beret. Author \xe2\x80\x9cWarrior Diplomat.\xe2\x80\x9d Former CEO & FOX News Contributor. FL Native, Father. Proud American \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'",20641
b'Campaign account for U.S. Congresswoman Stephanie Murphy -- Fighting for families in Seminole & Orange Counties. Join us! #FL07 #TeamMurphy',8547
b'',33
"b'1st Puerto Rican Florida Congressman, attorney, musician and loving husband of Amanda Soto - personal account'",6151
b'Thank you for visiting my campaign twitter page. If your intention was to visit my official House of Representatives page please visit  @RepValDemings',13749
b'Republican for Congress - Florida Congressional District 11. This account is run by #TeamWebster. Tweets from Daniel Webster are signed -DW.',2157
b'Paid for by Bilirakis for Congress',905
"b""Proud @FloridaState alum. 44th Governor of the great State of Florida. Serving as The People's Congressman in FL-13. #TeamCrist""",35284
b'Standing Up Every Day for Every Tampa Neighbor\xe2\x9a\xa1\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8c\xb4 Castor for Congress \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Join #TeamCastor',2719
b'Husband\xe2\x80\xa2Father of 3\xe2\x80\xa2Combat Navy Vet & Pilot\xe2\x80\xa2 Former Business Owner and Lakeland City Commissioner\xe2\x80\xa2 Congressman for FL15',1031
"b""US Congressman representing Florida's 16th district.""",729
b'Conservative Republican serving Florida\xe2\x80\x99s 17th Congressional District',8082
"b'US Army Combat Vet, Purple Heart recipient, husband and father of 4. Serving #FL18 in Congress. Campaign account.'",29037
"b'Liberty-loving. Pro-Trump. Pro-2nd Amendment.           Pro-life. Husband & father to 3. Congressman, FL-19. Official Account: @RepDonaldsPress.'",64337
b'Official Alcee Hastings Campaign Account. Paid for by Hastings for Congress.',595
"b'Thank you for visiting my campaign twitter page. If your intention was to visit my official House of Representatives Twitter page, visit @RepLoisFrankel'",2989
"b'Dad, husband, and Congressman. Proud to rep my diverse community of South Florida. Fighting gun violence & crazy money in politics. #BidenHarris2020 #TeamTed'",12006
"b'Dog loving, clean cooking, breast cancer-surviving, Florida Gator cheering, softball-playing mother of three fighting in Congress on behalf of South Floridians.'",354776
"b""Campaign; member of Congress since 2013; representing Florida's 24th district.""",126
b'I am honored to be your voice in Washington. It is my privilege to represent you effectively and with integrity.',2165
"b'Family man. Congressman-elect in #FL26. Former mayor of #MiamiDade, FL\xe2\x80\x99s largest county. Past firefighter, administrator & commissioner.'",7652
"b""U.S. Congresswoman \xe2\x80\xa2 5x Emmy Award-winning journalist \xe2\x80\xa2 Daughter of exiles \xe2\x80\xa2 Nico & Marti's Mom \xe2\x80\xa2 Representing beautiful South Florida #FL27\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8c\xb4""",84073
"b""Republican Congressman representing Georgia's First Congressional District""",6530
"b""Proudly representing Georgia's 2nd Congressional District. Chairman of House Appropriations Subcommittee on Agriculture  https://t.co/gQh6pvYihy""",25378
b'',771
"b'Father, Husband, Champion for Working Families. Representing parts of DeKalb, Gwinnett and Newton counties and all of Rockdale County.'",1834
b'Congresswoman #GA05. Mommy to Carter. Wifey to @Smalls58. Chairwoman @GeorgiaDemocrat. #HBCUmade @talladegacolleg. Soror of #AKA1908 She/Her/Hers',44511
b'Mother of Jordan Davis - young man who was shot and killed in the national Loud Music Shooting. Congresswoman for Georgia\xe2\x80\x99s Sixth Congressional District.',124654
b'Congresswoman from #GA07. Fighting to lower the cost of health care and get our economy back on track. Former Georgia Senate Budget Director. #FinishedTheJob.',74655
"b'Born and raised in Georgia. Father, husband, small businessman, U.S. Congressman. Working hard for the good people of Georgia.'",2663
"b'Christian, Conservative, U. S. Congressman #GA10, Communications Chair of @FreedomCaucus \xe2\x80\x94 working hard to renew America!'",8219
b'U.S. Congress District 11 (R-GA). A consistent Constitutional Conservative https://t.co/V2D194uylM',3309
"b""Georgia's 12th Congressional District Congressman.""",4529
"b""Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.""",27362
"b""Congresswoman for Georgia's 14th CD, Christian, Wife, Mom, Small Business Owner, Proud American, 100% Pro-Life, Pro-Gun, Pro-Trump #MAGA Likes =/= Endorsements""",376611
"b'Senator, 32nd / 33rd / 34th Guam Legislature;\n\nMember, U.S. House of Representatives, 116th Congress'",1565
"b'Outrigger Enterprises Group, Waikiki'",2140
"b'Husband, Father, Son, Native Hawaiian, Former State Senator, Veteran, Proud Democrat and U.S. Representative (HI-02)'",98836
b'Congresswoman in IA-01. Iowa native. First woman to represent Iowa\xe2\x80\x99s 67th district. Wife to Matt and mother of two sons.',12767
b'Doctor. Veteran. Congresswoman.',8077
"b'Mother, business owner, and community activist representing #IA03 in Congress #Democrat'",14993
"b'Husband, father, and life-long Iowan. Congressman and proven effective conservative ready to deliver for the 4th District. #IA04 #FeenstraDelivers'",6676
"b'4th-generation Idahoan, farm kid, father, international businessman, and Congressman Representing Idaho\xe2\x80\x99s 1st CD. #RussForUS'",3306
"b'Conservative Republican Mike Simpson represents the families, small businesses, farms and ranches of Idaho\xe2\x80\x99s Second Congressional District.'",1932
b'U.S. Congressman (IL-01) | Past. Present. Proven.',552
"b'Congresswoman, 2nd District of Illinois. \nChairwoman, Democratic Party of Illinois. Follow us at @demsforillinois'",7605
"b'#IL03 Congresswoman: Fighting to Make the Economy Work For Everyone, Med4All, Real Pay For Real Jobs, Green New Deal. #NewDayinIL03'",49756
"b'Dad, Grandpa, Progressive Chicagoan, Retired Marathoner, and Congressman #IL04. FB & IG: @ChuyForCongress'",19276
"b""Representing Illinois' 5th District. House Appropriator, Intelligence Committee member, amateur hockey player, proud Cubs fan. He/Him.""",51067
"b'Congressman, IL-06. Engineer. Former CEO. Dad. Husband. Occasional piano player.  ""A very dark horse"".  For official tweets follow @RepCasten'",37564
b'Congressman of the 7th Congressional District',293
"b'Father of 3, Husband, Small Businessman & Congressman representing the people of #IL08. Official account of the Raja for Congress campaign.'",3210
"b'Twitter Account for Schakowsky for Congress. Staff-managed. When we fight, we win.'",5070
"b""I represent Illinois's 10th District in the United States Congress  #IL10.""",18933
"b""Businessman. Scientist. Verified Twitter feed of Bill Foster's campaign to return to Congress to represent the Illinois' 11th District.""",2274
b'Passionate leadership for Southern Illinois',1265
b'Congressman for the 13th District of Illinois',2704
b'Registered Nurse. Congresswoman representing the IL-14 district. Find me on Facebook at UnderwoodForCongress and on IG at laurenaunderwood',137148
b'Congresswoman-Elect for IL-15.',4449
b'Lt. Colonel in the @USAirforce & currently serving in the @GoAirGuard. Personal Account.',132236
"b'Congresswoman from #IL17 working hard to get real results for the families I serve. Former reporter, wife, mother of three, athlete.'",12990
"b'Husband, Father of 3, Congressman for the 18th District of Illinois'",1162
"b""Democratic Representative-elect for Indiana's First Congressional District | For Jobs. For Healthcare. For Us.""",790
"b""Honored to represent Indiana's Second District and take common sense Hoosier solutions to the US Congress. Campaign account.""",4666
b'Congressman (IN-3). Afghanistan veteran. Husband and father of three. Committed to preserving the American dream for future generations.',7684
b'Lifelong Hoosier proudly representing the 4th Congressional District.',5827
b'Mother of two daughters. Businesswoman. Farmer. CPA & Fortune 500 finance professional. Former State Senator. American by choice. U.S. Representative #IN05',7610
"b""Congressman for Indiana's 6th District.""",6893
b'Serving Indiana\xe2\x80\x99s 7 Congressional District. This is the official Twitter account for my 2020 re-election campaign.',3005
b'Husband. Father of four. Doctor. Congressman representing #IN08.',2102
b'Official Twitter account of the Trey for Congress campaign. U.S. Representative for #IN09.',1180
b'50th Lieutenant Governor of Kansas. Republican candidate for the First Congressional District in Kansas.',1928
"b'Conservative Congressman for #ks02. 6th-generation Kansan. Faith in God. Family. Love of Country. Husband to Suzanne. Father to Ava, Joe, Maggie, and Gus.'",1970
"b'Putting Kansans first and fighting for opportunity, because everyone deserves a shot at success. Proud to represent #KS03 in the US Congress.'",138702
b'Kansas Champion. Engineering Common Sense Solutions. Husband. Father. Engineer. Leader. Conservative. #KS04',1446
"b'Kentucky Congressman. Republican Leader of House Oversight Committee. Tweets are about family, friends, sports, farming & politics (Personal Account)'",16110
"b""Congressman serving Kentucky's 2nd District.""",6489
